How many demerit points can you get during probation?,1,12,24,14,FALSE,0,1
What is the default speed limit on roads?,2,60,50,70,FALSE,0,2
What is the free play zone for clutch?,3,15-20mm,20-30mm,10-20mm,FALSE,0,3
Within the 50 meters of the white zig-zag lines you are allowed to,2,Stop and wait for pillon,Alight passengers,Overtake,FALSE,0,4
When riding with pillion the pillion rider should hold,1,Around the rider's waist,On the rider's lap,Do not hold the rider,FALSE,0,5
What should you do when approaching a slope?,1,Increase speed on approaching the slope,Slow down on approaching the slope,Stop on approaching the slope,FALSE,0,6
For every distance of one car length you should be travelling at,1,10 Km/h,20 Km/h,30Km/h,FALSE,0,7
While riding you hear siren of an ambulance,2,You must give way,You must move to the left or right,Horn the vehicle and move faster to avoid obstructing the ambulance,FALSE,0,8
What is the clutch level used for?,1,Connect and disconnect engine power,Acceleration and deceleration,Stopping the vehicle,FALSE,0,9
Riding a motorcycle your knees should,3,Bend inwards,Bend outwards,Slightly touch the fuel tank,FALSE,0,10
What is the free play of the front brake lever and rear brake pedal?,3,5-10mm,10-15mm,15-20mm,FALSE,0,11
What do you do if you exprience a piston jam?,1,Pull clutch and depress brake slowly while moving to the side of the road,Don't do anything,Jam your brakes,FALSE,0,12
Which gear should be engaged when going upslope?,2,Neutral,Gear 1,Gear 3,FALSE,0,13
When pushing the motorcycle forward you should,2,Keep the motorcycle away from you and handlebar slightly to the left,Keep the motorcycle upright and in contact with your body,Keep the motorcycle towards you and handlebar slightly to the right,FALSE,0,14
